time,ax,ay,az,atotal
0.010473012924194336,-0.04,-0.03,0.36,0.36
0.011527061462402344,0.04,0.11,0.5,0.51
0.032691001892089844,0.11,0.24,0.56,0.61
0.03404116630554199,0.21,0.28,0.54,0.64
0.047167062759399414,0.41,0.29,0.59,0.77
0.049143075942993164,0.63,0.3,0.68,0.97
0.06316709518432617,0.84,0.27,0.71,1.13
0.06571698188781738,0.98,0.2,0.66,1.19
0.08029007911682129,1.06,0.13,0.55,1.2
0.08418107032775879,1.07,0.12,0.4,1.14
0.09769892692565918,1.01,0.15,0.29,1.06
0.0989539623260498,0.91,0.13,0.16,0.93
0.1158139705657959,0.8,0.02,0.09,0.8
0.11967110633850098,0.69,-0.09,0.03,0.69
0.1274411678314209,0.59,-0.12,-0.02,0.6
0.12834906578063965,0.53,-0.11,-0.14,0.55
0.14735198020935059,0.42,-0.1,-0.33,0.54
0.15091705322265625,0.23,-0.06,-0.64,0.68
0.16310811042785645,-0.03,0.0,-0.91,0.91
0.16759991645812988,-0.29,0.09,-1.16,1.19
0.17906594276428223,-0.54,0.14,-1.34,1.45
0.18034100532531738,-0.82,0.1,-1.46,1.67
0.19915413856506348,-1.12,-0.02,-1.56,1.92
0.20290708541870117,-1.4,-0.16,-1.59,2.12
0.2136399745941162,-1.6,-0.29,-1.61,2.28
0.21778202056884766,-1.72,-0.4,-1.54,2.34
0.2298600673675537,-1.71,-0.44,-1.5,2.31
0.23369908332824707,-1.71,-0.51,-1.42,2.28
0.2454080581665039,-1.67,-0.57,-1.39,2.24
0.24806499481201172,-1.57,-0.66,-1.4,2.2
0.2666609287261963,-1.38,-0.76,-1.41,2.11
0.2676529884338379,-1.11,-0.76,-1.3,1.87
0.2804381847381592,-0.78,-0.65,-1.2,1.57
0.28377699851989746,-0.44,-0.49,-1.13,1.3
0.29607105255126953,-0.04,-0.32,-1.04,1.08
0.29993200302124023,0.35,-0.14,-1.03,1.09
0.312359094619751,0.77,0.13,-0.91,1.19
0.3168599605560303,1.15,0.47,-0.7,1.42
0.3283240795135498,1.39,0.84,-0.53,1.7
0.33220696449279785,1.49,1.12,-0.34,1.89
0.3471810817718506,1.47,1.32,-0.23,1.98
0.3480541706085205,1.38,1.49,-0.09,2.03
0.36205410957336426,1.19,1.55,0.08,1.95
0.3657538890838623,0.96,1.52,0.23,1.81
0.37520503997802734,0.7,1.43,0.33,1.62
0.37656712532043457,0.42,1.24,0.42,1.37
0.3942070007324219,0.13,0.96,0.51,1.09
0.39816999435424805,-0.12,0.64,0.58,0.87
0.41072607040405273,-0.35,0.37,0.61,0.79
0.41353487968444824,-0.51,0.16,0.71,0.88
0.43280720710754395,-0.61,0.02,0.79,0.99
0.4339449405670166,-0.65,-0.1,0.8,1.03
0.4416191577911377,-0.6,-0.19,0.76,0.98
0.44249606132507324,-0.46,-0.28,0.68,0.86
0.46198010444641113,-0.28,-0.35,0.58,0.73
0.46576714515686035,-0.11,-0.35,0.44,0.57
0.47420716285705566,0.06,-0.3,0.38,0.48
0.4750230312347412,0.24,-0.26,0.33,0.48
0.49331116676330566,0.39,-0.24,0.23,0.51
0.49712300300598145,0.52,-0.21,0.1,0.56
0.511836051940918,0.63,-0.17,0.05,0.65
0.5131280422210693,0.66,-0.15,0.03,0.67
0.5283858776092529,0.64,-0.15,-0.02,0.65
0.5320398807525635,0.55,-0.22,-0.11,0.6
0.5439920425415039,0.45,-0.31,-0.11,0.55
0.5475270748138428,0.35,-0.35,-0.1,0.5
0.5595860481262207,0.2,-0.41,-0.09,0.46
0.5618929862976074,0.03,-0.47,-0.08,0.47
0.5773851871490479,-0.13,-0.51,-0.13,0.54
0.581348180770874,-0.28,-0.51,-0.14,0.59
0.596541166305542,-0.37,-0.46,-0.09,0.59
0.5972449779510498,-0.4,-0.37,-0.03,0.54
0.6129229068756104,-0.4,-0.25,0.03,0.47
0.6162989139556885,-0.39,-0.11,0.06,0.4
0.6266391277313232,-0.39,0.01,0.04,0.39
0.6291460990905762,-0.36,0.1,-0.02,0.37
0.6435720920562744,-0.31,0.16,-0.06,0.35
0.646618127822876,-0.28,0.24,-0.03,0.37
0.6608431339263916,-0.25,0.34,-0.01,0.42
0.6638848781585693,-0.19,0.39,-0.02,0.43
0.6823551654815674,-0.14,0.4,-0.09,0.43
0.683387041091919,-0.08,0.4,-0.19,0.45
0.6949799060821533,0.04,0.41,-0.25,0.48
0.697504997253418,0.01,0.39,-0.23,0.45
0.7111570835113525,-0.06,0.36,-0.23,0.43
0.7139661312103271,-0.14,0.31,-0.23,0.41
0.7259130477905273,-0.19,0.28,-0.19,0.38
0.7293012142181396,-0.2,0.21,-0.17,0.33
0.7428109645843506,-0.19,0.12,-0.16,0.27
0.746192216873169,-0.17,0.08,-0.19,0.26
0.7610208988189697,-0.13,0.07,-0.23,0.27
0.7619800567626953,-0.15,0.12,-0.3,0.35
0.7775540351867676,-0.19,0.22,-0.34,0.44
0.7810020446777344,-0.22,0.3,-0.32,0.49
0.7942280769348145,-0.28,0.38,-0.31,0.56
0.7979750633239746,-0.33,0.46,-0.31,0.64
0.8096890449523926,-0.34,0.53,-0.36,0.72
0.8122529983520508,-0.34,0.56,-0.41,0.77
0.8275880813598633,-0.36,0.53,-0.5,0.81
0.8316190242767334,-0.36,0.51,-0.56,0.83
0.8445971012115479,-0.37,0.46,-0.59,0.83
0.8457319736480713,-0.36,0.41,-0.63,0.83
0.8641998767852783,-0.31,0.43,-0.71,0.88
0.867516040802002,-0.18,0.47,-0.75,0.9
0.8771212100982666,-0.02,0.51,-0.77,0.92
0.8799350261688232,0.18,0.53,-0.77,0.95
0.8941981792449951,0.39,0.54,-0.77,1.01
0.8972861766815186,0.59,0.4,-0.74,1.02
0.9110209941864014,0.75,0.19,-0.69,1.03
0.9142920970916748,0.88,-0.02,-0.68,1.11
0.9316210746765137,1.0,-0.18,-0.67,1.21
0.9324820041656494,1.13,-0.2,-0.63,1.3
0.9459609985351562,1.22,-0.2,-0.52,1.34
0.9482300281524658,1.28,-0.27,-0.3,1.34
0.9617340564727783,1.27,-0.32,0.03,1.31
0.9652769565582275,1.2,-0.44,0.23,1.29
0.9762310981750488,1.15,-0.6,0.23,1.31
0.9784770011901855,1.13,-0.69,0.02,1.32
0.9941940307617188,1.13,-0.65,-0.01,1.3
0.9977729320526123,1.08,-0.59,0.0,1.23
1.014012098312378,0.94,-0.52,-0.04,1.07
1.0148909091949463,0.76,-0.57,0.06,0.95
1.0280780792236328,0.58,-0.74,0.11,0.94
1.0302422046661377,0.42,-0.97,0.07,1.05
1.046030044555664,0.31,-1.17,-0.07,1.21
1.0493910312652588,0.25,-1.36,-0.34,1.42
1.0609910488128662,0.19,-1.36,-0.59,1.49
1.0638020038604736,0.19,-1.18,-0.53,1.3
1.0761311054229736,-1.5,-1.63,1.11,2.47
1.0794241428375244,-2.57,-1.07,2.14,3.51
1.1001641750335693,-1.94,0.27,1.87,2.7
1.1015288829803467,-2.58,0.12,1.37,2.92
1.1120800971984863,-1.75,0.43,0.8,1.97
1.1155221462249756,-1.2,0.8,0.53,1.53
1.1249759197235107,-0.37,0.81,0.16,0.9
1.1262800693511963,-0.1,0.77,0.08,0.78
1.1451470851898193,0.09,0.59,-0.12,0.6
1.149172067642212,0.24,0.29,-0.16,0.4
1.159783124923706,0.18,-0.43,0.14,0.48
1.1635119915008545,-0.02,-0.97,0.36,1.03
1.1783721446990967,-0.23,-1.13,0.78,1.39
1.1797740459442139,-0.44,-0.89,1.33,1.65
1.19697904586792,-0.65,-0.53,1.7,1.89
1.200551986694336,-0.72,-0.26,1.49,1.67
1.2105271816253662,-0.54,-0.25,0.91,1.08
1.2137911319732666,-0.16,-0.26,0.53,0.61
1.2263472080230713,0.21,-0.05,0.1,0.23
1.2296810150146484,0.44,0.17,-0.15,0.49
1.2432920932769775,0.38,0.15,-0.41,0.57
1.2466840744018555,0.13,-0.02,-0.57,0.58
1.2613720893859863,-0.11,-0.07,-0.63,0.64
1.2623159885406494,-0.34,-0.05,-0.67,0.75
1.2829029560089111,-0.58,-0.03,-0.68,0.89
1.2843430042266846,-0.68,-0.12,-0.65,0.94
1.2872679233551025,-0.61,-0.15,-0.55,0.83
1.2915630340576172,-0.42,-0.08,-0.51,0.66
1.2929141521453857,-0.24,-0.01,-0.57,0.61
1.3101999759674072,-0.09,0.0,-0.54,0.54
1.3138470649719238,0.02,0.03,-0.4,0.4
1.3272490501403809,0.0,-0.03,-0.13,0.13
1.336672067642212,-0.1,-0.15,0.09,0.2
1.342020034790039,-0.22,-0.25,0.17,0.37
1.343297004699707,-0.33,-0.28,0.19,0.47
1.345379114151001,-0.36,-0.24,0.17,0.46
1.3470909595489502,-0.28,-0.18,0.23,0.4
1.348541021347046,-0.14,-0.09,0.13,0.21
1.3500630855560303,0.02,0.07,0.08,0.1
1.351444959640503,0.19,0.26,0.09,0.33
1.352952003479004,0.32,0.29,-0.03,0.43
1.3546180725097656,0.42,0.28,-0.05,0.5
1.3600640296936035,0.47,0.21,0.04,0.51
1.3610289096832275,0.43,0.12,0.18,0.48
1.377289056777954,0.31,0.06,0.22,0.38
1.3780639171600342,0.14,0.0,0.21,0.25
1.3935401439666748,0.05,-0.05,0.25,0.25
1.3942129611968994,0.02,-0.09,0.23,0.24
1.4098641872406006,0.03,-0.11,0.14,0.18
1.4135611057281494,0.04,-0.12,0.11,0.16
1.4264659881591797,0.06,-0.15,0.06,0.17
1.4298040866851807,0.08,-0.29,-0.46,0.54
1.444838047027588,0.0,-0.3,-0.36,0.46
1.445972204208374,-0.13,-0.26,-0.1,0.3
1.4646670818328857,-0.08,-0.25,-0.05,0.26
1.467832088470459,-0.02,-0.23,-0.13,0.26
1.4769690036773682,0.04,-0.16,-0.09,0.18
1.4804952144622803,0.05,-0.04,-0.06,0.08
1.4943759441375732,0.05,0.02,-0.09,0.1
1.4975011348724365,0.12,0.02,-0.12,0.17
1.5092370510101318,0.2,-0.01,0.01,0.2
1.5125250816345215,0.25,-0.08,-0.18,0.31
1.5337278842926025,0.33,-0.13,-0.13,0.37
1.534771203994751,0.34,-0.3,0.13,0.47
1.5427749156951904,0.35,-0.61,0.45,0.83
1.5441429615020752,0.28,-0.7,-0.16,0.77
1.56113600730896,0.1,-0.75,-0.55,0.93
1.5649070739746094,0.03,-0.89,-0.31,0.94
1.5780589580535889,0.1,-1.07,0.13,1.08
1.5816481113433838,0.03,-1.17,-0.12,1.17
1.5932590961456299,0.03,-1.13,-0.53,1.24
1.5969200134277344,0.2,-1.12,-0.79,1.38
1.6145310401916504,0.42,-1.1,-1.16,1.65
1.615786075592041,0.66,-0.84,-1.43,1.78
1.6261389255523682,0.87,-0.58,-1.09,1.51
1.6274330615997314,0.72,-0.3,-1.39,1.59
1.644651174545288,0.5,-0.34,-1.87,1.96
1.6481711864471436,0.4,-0.15,-2.38,2.41
1.6594641208648682,0.27,-0.03,-3.01,3.02
1.663079023361206,0.1,-0.01,-2.95,2.95
1.6778972148895264,-0.04,-0.01,-2.5,2.5
1.6814711093902588,-0.05,-0.01,-1.91,1.91
1.6972980499267578,0.14,-0.04,-1.32,1.32
1.698132038116455,0.45,-0.13,-0.98,1.08
1.711780071258545,0.68,-0.16,-1.01,1.22
1.7158100605010986,0.82,0.01,-1.2,1.45
1.727066993713379,0.95,0.33,-1.17,1.54
1.7299292087554932,1.01,0.5,-0.68,1.31
1.7449071407318115,0.94,0.23,-0.38,1.03
1.7476370334625244,0.87,-0.11,-0.37,0.95
1.7593519687652588,0.87,-0.69,-0.51,1.22
1.7626540660858154,0.81,-1.28,-1.25,1.96
1.782792091369629,0.64,-1.46,-1.82,2.41
1.783600091934204,0.69,-1.52,-1.93,2.55
1.7954471111297607,0.73,-1.81,-1.57,2.5
1.79899001121521,0.63,-2.12,-1.32,2.57
1.80839204788208,0.28,-2.2,-1.47,2.66
1.809683084487915,-0.14,-2.47,-1.78,3.04
1.8281819820404053,-0.09,-2.86,-2.25,3.64
1.8319342136383057,0.25,-3.21,-2.66,4.17
1.8429930210113525,0.85,-3.75,-2.15,4.4
1.8462588787078857,1.91,-3.71,-3.73,5.59
1.865117073059082,2.77,-2.51,-5.86,6.95
1.8658249378204346,2.77,-1.5,-5.51,6.34
1.880284070968628,2.61,-1.61,-3.41,4.58
1.8836970329284668,2.78,-1.95,-3.3,4.73
1.8933451175689697,2.78,-1.3,-3.12,4.37
1.8966891765594482,2.1,0.12,-2.09,2.96
1.9098269939422607,1.05,0.76,-1.53,2.0
1.9133222103118896,0.36,0.74,-1.89,2.06
1.9265780448913574,0.24,0.68,-2.37,2.47
1.9303438663482666,0.52,0.75,-2.04,2.23
1.9440019130706787,0.81,0.64,-1.24,1.61
1.945406198501587,0.73,0.67,-0.28,1.02
1.9646680355072021,0.2,1.16,0.99,1.53
1.968224048614502,-0.65,1.96,2.51,3.25
1.9750158786773682,-2.22,3.08,5.3,6.51
1.9763319492340088,-4.38,5.01,7.77,10.23
1.9934930801391602,-4.74,5.74,6.24,9.71
1.9970719814300537,-4.65,4.79,6.1,9.04
2.0108721256256104,-4.31,4.78,5.42,8.41
2.0141661167144775,-4.04,5.17,5.65,8.65
2.028064012527466,-3.83,5.15,5.52,8.46
2.0290791988372803,-4.18,5.28,6.31,9.22
2.0447919368743896,-4.74,4.83,7.07,9.78
2.0482161045074463,-4.86,3.85,6.81,9.2
2.0620970726013184,-4.58,2.7,6.16,8.13
2.065653085708618,-3.98,1.59,5.73,7.15
2.074323892593384,-3.4,0.69,4.81,5.93
2.075646162033081,-2.63,0.26,3.94,4.74
2.093454122543335,-1.7,0.14,3.48,3.87
2.097162961959839,-0.89,0.36,3.12,3.26
2.1116349697113037,-0.39,0.56,2.66,2.74
2.1130499839782715,-0.15,0.74,2.1,2.23
2.131366014480591,-0.12,0.82,1.57,1.77
2.135215997695923,-0.18,0.73,1.14,1.36
2.144329071044922,-0.17,0.37,0.77,0.87
2.1481339931488037,-0.26,0.05,0.25,0.36
2.161113977432251,-0.45,-0.17,-0.38,0.61
2.1647121906280518,-0.42,-0.43,-0.84,1.03
2.1773440837860107,-0.17,-0.56,-0.73,0.93
2.181256055831909,-0.05,-0.38,-0.59,0.7
2.196859121322632,-0.08,-0.27,-0.69,0.74
2.1977579593658447,-0.14,-0.38,-0.8,0.89
2.213916063308716,-0.3,-0.62,-0.75,1.01
2.216907024383545,-0.49,-0.78,-0.75,1.18
2.226747989654541,-0.66,-0.77,-0.82,1.3
2.2294580936431885,-0.66,-0.75,-0.77,1.26
2.2431840896606445,-0.52,-0.65,-0.7,1.08
2.24605393409729,-0.42,-0.54,-0.67,0.95
2.2610719203948975,-0.3,-0.42,-0.67,0.84
2.263643980026245,-0.21,-0.24,-0.7,0.76
2.282778024673462,-0.22,-0.08,-0.72,0.75
2.283951997756958,-0.27,-0.06,-0.86,0.9
2.291995048522949,-0.15,-0.06,-0.97,0.98
2.292772054672241,0.06,-0.18,-1.07,1.08
2.312983989715576,0.31,-0.48,-1.3,1.42
2.3164689540863037,0.66,-0.8,-1.46,1.79
2.3263418674468994,0.97,-1.12,-1.6,2.18
2.3302671909332275,1.08,-1.24,-1.58,2.28
2.3430190086364746,0.99,-1.24,-1.33,2.07
2.3466498851776123,0.77,-1.21,-1.08,1.79
2.3657619953155518,0.46,-1.13,-0.85,1.48
2.367069959640503,0.19,-0.9,-0.56,1.07
2.380223035812378,-0.04,-0.67,-0.41,0.78
2.383742094039917,-0.13,-0.59,-0.38,0.71
2.393864870071411,-0.11,-0.73,-0.37,0.82
2.397585153579712,-0.06,-0.99,-0.46,1.09
2.409830093383789,-0.08,-1.26,-0.46,1.34
2.413224935531616,-0.14,-1.42,-0.37,1.47
2.426100015640259,-0.15,-1.44,-0.55,1.54
2.429030179977417,0.08,-1.46,-1.54,2.12
2.4502170085906982,0.39,-1.34,-1.07,1.75
2.451474905014038,0.38,-0.97,-0.95,1.4
2.4613780975341797,0.36,-0.75,-0.95,1.26
2.4648091793060303,0.44,-0.76,-0.86,1.22
2.4752871990203857,0.51,-0.76,-0.91,1.29
2.4766409397125244,0.53,-0.84,-0.98,1.39
2.494629144668579,0.5,-0.94,-0.99,1.45
2.4980320930480957,0.45,-1.07,-1.2,1.66
2.51186203956604,0.43,-1.17,-1.81,2.19
2.5153229236602783,0.66,-1.2,-2.11,2.51
2.5349950790405273,0.84,-1.25,-2.37,2.8
2.536320924758911,1.0,-1.23,-2.46,2.92
2.5424211025238037,1.25,-0.98,-2.38,2.86
2.5432560443878174,1.33,-0.65,-2.24,2.68
2.5611488819122314,1.22,-0.36,-2.04,2.4
2.565284013748169,0.93,-0.22,-1.9,2.12
2.576972007751465,0.64,-0.29,-1.88,2.0
2.580794095993042,0.52,-0.46,-1.89,2.01
2.594106912612915,0.45,-0.53,-2.18,2.28
2.597982168197632,0.48,-0.62,-2.36,2.48
2.617713212966919,0.51,-0.74,-2.6,2.75
2.6186070442199707,0.53,-0.87,-2.83,3.0
2.625541925430298,0.67,-0.94,-3.0,3.21
2.6267049312591553,0.88,-0.95,-3.16,3.41
2.6454551219940186,1.04,-0.97,-3.25,3.54
2.6490609645843506,1.17,-0.85,-3.26,3.56
2.661212205886841,1.14,-0.55,-3.08,3.32
2.664621114730835,0.99,-0.25,-2.85,3.02
2.6765339374542236,0.68,-0.03,-2.62,2.7
2.68025803565979,0.39,0.08,-2.44,2.47
