time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004810,0.0717,0.0073,-0.0041,0.072
0.005495,0.1182,-0.0615,0.0380,0.139
0.005909,0.1218,-0.0633,0.1131,0.178
0.006285,0.0778,-0.0080,0.0759,0.109
0.015850,0.0272,-0.0056,0.0438,0.052
0.016525,0.0578,-0.0578,0.0785,0.113
0.021234,0.0644,-0.0454,0.0963,0.124
0.025730,0.0450,-0.0213,0.0759,0.091
0.030518,0.0567,0.0121,0.0534,0.079
0.035516,0.0492,-0.0094,0.0169,0.053
0.040421,0.0633,-0.0498,0.0187,0.083
0.045469,0.0916,-0.0684,-0.0102,0.115
0.050536,0.0745,-0.0275,0.0182,0.081
0.055945,0.1073,-0.0297,0.1151,0.160
0.061464,0.1352,-0.0367,0.1281,0.190
0.068984,0.1106,-0.0412,0.1457,0.188
0.071376,0.0816,-0.0101,0.1205,0.146
0.075859,0.1098,-0.0386,0.1241,0.170
0.081310,0.0831,-0.0289,0.0634,0.109
0.085964,0.0023,-0.0193,0.0177,0.026
0.090981,0.0076,0.0092,-0.0370,0.039
0.102070,-0.0064,0.0066,-0.0534,0.054
0.102881,-0.0439,-0.0173,-0.0720,0.086
0.106395,-0.0478,-0.0244,-0.0619,0.082
0.111271,-0.0397,-0.0196,-0.0972,0.107
0.126432,-0.0554,-0.0101,-0.1370,0.148
0.127066,-0.0330,-0.0078,-0.1316,0.136
0.127475,-0.0204,-0.0387,-0.0644,0.078
0.131493,-0.0364,-0.0314,0.0046,0.048
0.136465,-0.0071,-0.0075,0.0635,0.064
0.141190,-0.0230,0.0399,0.0485,0.067
0.146611,-0.0626,0.0703,0.0168,0.096
0.151308,-0.0901,0.0363,0.0213,0.099
0.156541,-0.1054,0.0501,0.0022,0.117
0.162296,-0.0709,0.0354,-0.0501,0.094
0.166903,0.0177,0.0350,-0.0093,0.040
0.171759,0.0557,-0.0176,0.0786,0.098
0.177076,0.0838,-0.0293,0.0541,0.104
0.181597,0.0690,-0.0196,0.0396,0.082
0.186983,0.0592,0.0232,0.0178,0.066
0.192105,0.0448,-0.0246,-0.0086,0.052
0.197738,0.0734,-0.0530,-0.0016,0.091
0.202557,0.0805,-0.0385,0.0479,0.101
0.207704,0.0829,-0.0454,0.0873,0.129
0.212257,0.0949,-0.0453,0.0647,0.123
0.224054,0.0900,0.0191,0.0755,0.119
0.224796,0.0355,-0.0003,0.0770,0.085
0.228395,-0.0281,-0.0100,0.0265,0.040
0.232368,-0.1363,0.0634,-0.0355,0.154
0.237159,-0.2627,0.1340,-0.1155,0.317
0.249149,-0.2743,0.1470,-0.2138,0.378
0.249685,-0.2719,0.1172,-0.2640,0.397
0.253733,-0.3126,0.1210,-0.2330,0.408
0.257172,-0.2913,0.1557,-0.1691,0.371
0.261999,-0.2015,0.0596,-0.1011,0.233
0.266987,0.0038,-0.0239,-0.0480,0.054
0.272759,0.1433,-0.0591,-0.0310,0.158
0.277326,0.2009,-0.0846,0.0712,0.229
0.286308,0.2749,-0.1290,0.1678,0.347
0.288197,0.2036,-0.0970,0.1712,0.283
0.293060,0.1021,-0.0320,0.0701,0.128
0.298161,0.0468,-0.0176,0.0291,0.058
0.303503,-0.0009,-0.0246,-0.0044,0.025
0.313061,-0.0341,-0.0125,0.0478,0.060
0.313593,0.0187,-0.0077,-0.0051,0.021
0.317457,-0.0240,-0.0077,-0.0147,0.029
0.322780,-0.0164,0.0018,-0.0194,0.025
0.328304,-0.0279,-0.0031,-0.0360,0.046
0.332460,-0.0109,0.0421,-0.0285,0.052
0.337692,0.0060,-0.0153,-0.0474,0.050
0.342725,0.0109,-0.0485,0.0099,0.051
0.347735,0.0346,0.0041,0.0524,0.063
0.352774,-0.0298,0.0516,0.0638,0.087
0.358041,-0.0556,0.0298,0.0657,0.091
0.363543,-0.0219,0.0153,0.1081,0.111
0.367857,0.0068,-0.0015,0.1074,0.108
0.374250,0.0732,0.0104,0.0783,0.108
0.378409,0.1414,-0.0134,0.0756,0.161
0.383872,0.1047,-0.0585,0.0706,0.139
0.389172,0.1278,-0.0581,0.0823,0.163
0.393471,0.0746,-0.0125,0.0748,0.106
0.398744,0.0076,-0.0029,0.0485,0.049
0.403481,0.0150,-0.0268,0.0177,0.035
0.409356,0.0128,-0.0171,-0.0247,0.033
0.413238,-0.0344,0.0257,-0.1072,0.115
0.420864,-0.0362,0.0111,-0.1037,0.110
0.423510,-0.0381,-0.0009,-0.0954,0.103
0.428272,-0.0328,0.0133,-0.1253,0.130
0.433412,-0.0276,0.0012,-0.1408,0.143
0.439194,-0.0794,0.0297,-0.1204,0.147
0.443476,-0.1071,0.0222,-0.1573,0.192
0.448838,-0.0965,0.0196,-0.1180,0.154
0.453508,-0.0410,0.0028,-0.0292,0.050
0.458816,0.0283,-0.0305,0.0017,0.042
0.463831,0.0376,-0.0540,0.0276,0.071
0.468640,0.0375,-0.0203,0.0508,0.066
0.476768,-0.0147,-0.0250,0.0074,0.030
0.479702,-0.0215,-0.0106,0.0429,0.049
0.484153,-0.0044,0.0251,0.0636,0.069
0.489721,-0.0302,0.0509,0.0058,0.059
0.496728,-0.0322,0.0362,-0.0253,0.055
0.499407,-0.0840,0.0263,-0.0062,0.088
0.505112,-0.0879,0.0403,-0.0703,0.120
0.516289,-0.1037,0.0495,-0.1029,0.154
0.522607,-0.1290,0.0728,-0.1258,0.194
0.526836,-0.1042,0.0342,-0.1176,0.161
0.537732,-0.0298,0.0031,-0.0217,0.037
0.538471,0.1152,-0.0159,0.0187,0.118
0.538830,0.1521,-0.0656,0.0538,0.174
0.539163,0.0747,-0.0389,0.1054,0.135
0.544209,0.0005,0.0089,0.0973,0.098
0.549114,-0.0043,-0.0102,0.0610,0.062
0.554261,-0.0468,0.0303,-0.0107,0.057
0.559586,-0.1533,0.0775,-0.1030,0.200
0.564349,-0.1734,0.0103,-0.1446,0.226
0.570032,-0.0985,0.0103,-0.1457,0.176
0.574336,-0.0054,-0.0396,-0.0805,0.090
0.580223,0.1107,-0.0843,0.0672,0.155
0.584478,0.1904,-0.0622,0.2184,0.296
0.589429,0.1531,-0.0426,0.2663,0.310
0.598085,0.1329,-0.0446,0.2616,0.297
0.600408,0.1083,0.0174,0.1311,0.171
0.605748,0.0957,-0.0493,0.1230,0.163
0.609828,0.1855,-0.1060,0.1579,0.266
0.615669,0.1062,0.0539,-0.0047,0.119
0.621033,-0.1246,0.1364,-0.0351,0.188
0.624886,0.0145,-0.0834,0.0106,0.085
0.637295,0.0884,0.0265,0.0181,0.094
0.638014,-0.0875,0.0689,0.0280,0.115
0.640241,-0.1292,-0.0197,0.0141,0.131
0.645064,-0.0517,0.0041,-0.0210,0.056
0.650733,0.0727,-0.0317,-0.0438,0.091
0.656235,0.1722,-0.1123,-0.0381,0.209
0.660173,0.1619,-0.1448,0.0697,0.228
0.664917,0.1020,-0.0987,0.2122,0.255
0.670222,0.0451,-0.0388,0.2587,0.265
0.675478,0.0625,-0.0364,0.2245,0.236
0.680186,0.1439,-0.0388,0.0908,0.175
0.685095,0.2820,-0.0556,0.0031,0.287
0.690041,0.2267,-0.0461,0.0322,0.234
0.698980,0.0652,0.0345,0.1133,0.135
0.700871,-0.0404,0.1264,0.1129,0.174
0.707833,-0.0004,0.0963,-0.0822,0.127
0.711682,-0.0985,0.0143,-0.0924,0.136
0.715720,0.0106,-0.0100,-0.2096,0.210
0.720794,-0.0497,-0.0127,-0.1954,0.202
0.726280,-0.1384,0.0892,-0.2004,0.259
0.731895,-0.1075,0.0977,-0.2197,0.263
0.736309,-0.1886,0.0253,-0.1988,0.275
0.749267,-0.1791,0.0629,-0.1448,0.239
0.750195,-0.1367,0.0836,-0.0723,0.176
0.751230,-0.1162,0.0614,-0.0385,0.137
0.755525,-0.1292,0.0513,0.0140,0.140
0.761553,-0.0662,-0.0157,-0.0715,0.099
0.765973,-0.0013,-0.0156,-0.1706,0.171
0.770863,0.0202,-0.0345,-0.2669,0.270
0.776715,0.0014,-0.0984,-0.1797,0.205
0.780976,-0.0244,-0.0359,-0.0814,0.092
0.786117,-0.0620,0.0498,-0.1100,0.136
0.790715,-0.0991,0.0089,-0.0721,0.123
0.795836,-0.0032,0.1181,-0.1631,0.201
0.800841,0.2417,-0.1632,-0.1447,0.326
0.808783,0.3019,-0.2046,0.0726,0.372
0.817912,0.0697,0.0178,0.2835,0.293
0.824681,-0.2769,0.0175,0.4127,0.497
0.832829,-0.1293,0.1170,0.1473,0.228
0.833952,0.0430,0.0519,-0.3319,0.339
0.834389,-0.1803,0.0086,-0.4230,0.460
0.836819,-0.2048,0.0513,-0.4191,0.469
0.850334,0.0035,-0.0227,-0.3614,0.362
0.851178,0.1150,-0.0984,-0.1715,0.229
0.851562,0.1213,-0.0192,-0.0070,0.123
0.856299,-0.0125,0.0190,0.2349,0.236
0.861454,-0.0621,0.0354,0.1971,0.210
0.866285,-0.0612,0.0802,0.0698,0.123
0.872535,-0.1271,0.0701,0.0532,0.155
0.876784,-0.0953,0.0791,0.1177,0.171
0.881666,-0.0164,0.0405,0.1437,0.150
0.887119,-0.0640,0.0379,0.2244,0.236
0.891836,-0.1136,0.0923,0.3855,0.412
0.896743,-0.0301,0.0988,0.3014,0.319
0.901901,0.0908,-0.0136,0.1758,0.198
0.909623,0.1584,-0.0489,-0.1031,0.195
0.912368,0.1424,-0.0484,-0.1261,0.196
0.917531,0.1315,-0.0147,-0.1140,0.175
0.921513,0.2039,-0.0715,-0.3400,0.403
0.926719,0.0955,-0.0685,-0.2205,0.250
0.931880,0.0807,-0.0632,-0.2642,0.283
0.937074,0.0021,-0.0461,-0.1986,0.204
0.941999,-0.1351,0.0088,0.0039,0.135
0.946985,-0.0979,0.0277,0.0245,0.105
0.961097,-0.0543,0.0299,0.0572,0.084
0.961814,-0.0065,-0.0249,0.1707,0.173
0.962144,0.0292,-0.0698,0.1219,0.143
0.967046,-0.0113,0.0021,0.2019,0.202
0.972808,0.0031,0.0045,0.3172,0.317
0.977689,0.0007,-0.0407,0.2016,0.206
0.982298,0.0102,-0.0023,-0.0526,0.054
0.987227,-0.0039,0.0286,-0.2887,0.290
0.992669,0.0581,-0.0453,-0.5665,0.571
0.997300,-0.1200,-0.1638,-0.3392,0.395
1.002765,-0.1731,-0.0199,-0.3226,0.367
1.007242,0.1538,0.0017,-0.0520,0.162
1.012932,-0.7215,0.2511,1.2787,1.489
1.021040,-0.9441,0.5770,1.1520,1.597
1.023454,0.3735,0.0428,-0.3495,0.513
1.028911,0.4787,-0.3564,-0.6666,0.895
1.032631,0.0442,-0.0421,-0.1872,0.197
1.037433,0.5584,-0.0747,0.1834,0.592
1.043166,0.7104,-0.3329,0.3851,0.874
1.047886,0.0852,-0.0809,0.1441,0.186
1.054487,-0.4539,0.2948,0.0934,0.549
1.057952,-0.4121,0.3280,0.1669,0.552
1.071167,0.1585,-0.0072,-0.2330,0.282
1.071828,-0.0805,-0.2304,0.0705,0.254
1.072740,-0.5174,0.3869,0.4721,0.800
1.077965,0.0867,0.1060,0.1656,0.215
1.083586,0.4389,-0.3959,-0.3045,0.665
1.088631,0.2522,-0.1502,-0.3727,0.474
1.093301,-0.0587,0.0411,0.0268,0.077
1.098914,0.1364,-0.0020,0.2137,0.253
1.102834,0.1447,-0.0233,0.1735,0.227
1.108525,0.0177,0.0196,0.1339,0.136
1.113082,-0.1320,0.1406,0.0665,0.204
1.118922,-0.3353,0.1632,0.0282,0.374
1.123043,-0.4211,0.1691,0.1708,0.485
1.130768,-0.4262,0.2275,0.2298,0.535
1.133566,0.4209,-0.1350,0.1276,0.460
1.139332,0.8869,-0.5613,-0.8676,1.362
1.143221,-0.7667,0.1561,0.1946,0.806
1.148521,-2.0641,0.8751,0.5412,2.306
1.153389,-0.8623,0.3513,-0.3660,1.000
1.158503,1.0725,-0.5670,-0.5375,1.327
1.164662,1.1381,-0.5517,-0.2169,1.283
1.168509,0.6396,-0.2948,0.1550,0.721
1.186958,0.2123,-0.2444,0.5288,0.620
1.187700,1.3138,-0.1660,0.7225,1.508
1.188219,2.9697,-0.4810,0.3239,3.026
1.188590,0.2172,-0.8731,-1.0634,1.393
1.194751,-6.0937,2.0196,0.4941,6.439
1.198677,-2.4082,1.8108,-0.8426,3.129
1.203452,-0.2288,-0.7293,-3.2535,3.342
1.208792,-0.2155,-1.1485,-4.0543,4.219
1.213584,-0.9686,-0.0522,-2.5316,2.711
1.219106,-1.0260,0.1922,0.2668,1.077
1.224292,-0.2080,-0.0105,4.2172,4.222
1.229014,-0.1663,0.2582,2.2732,2.294
1.233707,0.5881,-0.0955,-0.9274,1.102
1.241751,0.3041,-0.2694,0.4533,0.609
1.243865,0.3463,-0.2949,2.2864,2.331
1.249055,1.1270,-0.1943,2.6354,2.873
1.253741,1.0276,0.2087,1.4136,1.760
1.259499,0.2591,0.2538,0.2033,0.416
1.264288,-0.6559,0.1670,-0.1177,0.687
1.269106,-1.5204,0.2361,-0.0774,1.541
1.275651,-1.4494,0.0740,0.0749,1.453
1.278909,-0.2852,-0.0296,0.0380,0.289
1.284277,2.3776,-0.2527,0.4754,2.438
1.288847,11.1884,-1.3948,-0.7913,11.303
1.294322,2.6234,-2.3474,0.7491,3.599
1.299198,-7.2382,0.5821,2.0394,7.542
1.304243,-4.5303,3.0142,-1.8730,5.755
1.309174,0.3882,0.9833,-3.0848,3.261
1.314284,0.8166,-1.3757,-0.2354,1.617
1.319410,-1.7615,-0.7392,0.7497,2.052
1.324424,-2.7131,-0.2046,1.0402,2.913
1.329223,-1.0500,-0.3220,0.4887,1.202
1.334602,0.6181,-0.3691,-0.0448,0.721
1.339472,1.0147,-0.0144,-0.2030,1.035
1.344539,0.8124,0.4158,-0.0244,0.913
1.350052,0.6125,0.5984,0.2210,0.884
1.354479,0.7644,0.6245,0.1583,1.000
1.359560,0.6436,0.4728,0.0296,0.799
1.364562,0.4434,0.0503,-0.3620,0.575
1.369963,0.1464,-0.0801,-0.5695,0.593
1.374533,-0.2600,-0.0907,-0.4954,0.567
1.379762,0.0059,-0.0820,-0.1953,0.212
1.386232,0.5013,-0.1140,0.0609,0.518
1.389613,0.4540,-0.1367,-0.2171,0.521
1.394684,0.3454,-0.1453,-0.8430,0.923
1.399763,0.6682,-0.1277,-1.0184,1.225
1.405265,0.7648,-0.2038,-0.3539,0.867
1.410511,0.4033,-0.2038,0.4099,0.610
1.415053,0.0858,-0.0699,0.8799,0.887
1.420342,0.3575,-0.0009,0.6434,0.736
1.424870,0.0601,-0.0375,0.4399,0.446
1.429833,-0.1390,0.1484,0.0725,0.216
1.434932,-0.1083,0.2720,-0.0650,0.300
1.440159,-0.2980,0.1252,-0.0301,0.325
1.445343,-0.1505,-0.0453,-1.0222,1.034
1.449970,-0.0917,-0.0217,-1.6569,1.660
1.455022,-0.5284,0.2532,-0.7914,0.985
1.459999,-0.3671,0.2983,0.2063,0.516
1.465125,0.9066,0.2189,0.7807,1.216
1.470376,1.9681,0.7273,1.8042,2.767
1.475117,3.6742,3.3868,1.7111,5.282
1.481179,0.5737,-1.1845,-4.4386,4.630
1.486010,-4.4660,-5.3454,-5.7340,9.022
1.490461,-3.9329,-0.5521,-0.6724,4.028
1.496055,1.1419,2.8445,3.5822,4.715
1.500511,0.9827,0.3432,4.7183,4.832
1.505520,-0.7561,-1.2537,2.4235,2.831
1.510733,-0.4912,0.2452,-1.4259,1.528
1.516074,0.9374,0.3168,-2.4409,2.634
1.520664,0.6404,-1.0691,-0.6591,1.410
1.525754,0.2301,-0.1879,0.4072,0.504
1.530666,-0.2225,0.6802,0.1433,0.730
1.536072,-0.5411,-0.0341,0.2112,0.582
1.540749,-0.3571,-0.1542,-0.0837,0.398
1.546052,-0.3075,0.2380,-0.2035,0.439
1.550927,-0.3444,0.3020,0.0785,0.465
1.555795,-0.4585,0.1723,0.0904,0.498
1.561121,-0.4006,0.1004,-0.2633,0.490
1.566170,0.1759,-0.0240,-0.1099,0.209
1.570899,0.2282,-0.0766,0.3571,0.431
1.575992,-0.2194,-0.0048,-0.0206,0.220
1.581338,0.1491,0.0312,-0.0370,0.157
1.586170,0.8022,-0.1722,0.0467,0.822
1.591716,0.1399,-0.0432,0.1538,0.212
1.596174,-0.0719,0.0282,0.6585,0.663
1.601137,0.2503,-0.0322,0.6212,0.670
1.606107,0.7329,-0.0831,-0.0277,0.738
1.611306,0.8290,-0.2325,-0.5187,1.005
1.616828,-0.2798,-0.1691,-0.2422,0.407
1.621291,-0.6940,0.2485,0.0670,0.740
1.626222,0.0539,0.3717,-0.1574,0.407
1.631385,-0.0816,0.0161,-0.5467,0.553
1.636712,-0.2381,-0.1812,-0.3093,0.430
1.641412,0.2302,0.0643,-0.1060,0.261
1.646766,-0.1318,0.2016,-0.5565,0.606
1.651725,-0.1346,0.0662,-0.0934,0.177
1.656579,-0.1472,-0.0308,0.0367,0.155
1.661876,0.0552,-0.1587,-0.1183,0.205
1.666520,1.5783,-0.5783,-0.3812,1.724
1.672008,2.3684,-0.3668,-0.5321,2.455
1.676614,1.7842,-0.7838,-0.4639,2.003
1.681595,0.2898,-0.5720,-0.3752,0.743
1.686695,-0.5183,0.0296,-0.4312,0.675
1.692612,-1.0658,0.3509,0.0696,1.124
1.701741,-1.4567,0.6652,0.9698,1.872
1.703222,-1.6463,0.5564,1.7186,2.444
1.720084,-1.2650,0.0515,1.1972,1.742
1.720796,0.2343,-0.5570,1.3745,1.501
1.721226,0.5584,-0.8080,1.4029,1.713
1.722477,-0.5192,0.5655,-0.0915,0.773
1.728018,-1.0437,0.8467,-0.5851,1.466
1.732058,-1.1069,0.7642,-0.3010,1.378
1.737194,-1.1566,0.6916,-1.0076,1.683
1.742242,-0.7935,0.0142,-1.3501,1.566
1.747263,-0.1039,-0.0305,-1.5717,1.575
1.752524,0.3317,0.3244,-1.4173,1.491
1.757282,0.0138,0.1546,-0.3367,0.371
1.762393,-0.5353,0.1548,0.5990,0.818
1.767401,-1.0244,0.5380,0.8746,1.450
1.775127,-0.7321,0.6483,0.9099,1.336
1.778402,-0.0894,0.0601,0.8365,0.843
1.785939,0.1818,-0.0130,0.4508,0.486
1.787488,-0.0376,0.1484,0.1516,0.215
1.792893,-0.1755,0.0704,0.0533,0.196
1.798308,-0.1268,-0.0601,0.0628,0.154
1.802708,-0.0568,-0.2000,-0.2458,0.322
1.813967,0.3166,-0.3395,-0.6307,0.783
1.814592,0.6538,-0.4598,-0.8055,1.135
1.817917,0.7137,-0.3337,-0.5556,0.964
1.822659,0.3532,-0.0452,-0.1492,0.386
1.827528,0.0031,0.1543,0.0387,0.159
1.833195,-0.2486,0.1430,0.3704,0.468
1.839022,-0.1319,0.1988,0.3081,0.390
1.842849,0.0278,0.0727,-0.0982,0.125
1.848151,-0.0540,0.0352,-0.2150,0.224
1.853904,-0.1740,0.2346,0.0981,0.308
1.858098,0.1196,0.0534,0.1712,0.216
1.864394,0.2623,-0.1969,0.1178,0.349
1.868413,0.0773,-0.1527,-0.0381,0.175
1.874667,0.2417,-0.0511,-0.1270,0.278
1.878564,0.3609,-0.0527,-0.0125,0.365
1.884505,0.0929,-0.0664,0.0636,0.131
1.889155,0.1246,0.0778,-0.1258,0.193
1.892967,0.2715,0.0637,-0.2076,0.348
1.898420,0.3064,-0.2543,0.1120,0.414
1.904166,-0.3283,-0.1199,0.1892,0.397
1.909526,-1.0636,0.0481,0.2782,1.100
1.913815,-0.0268,0.0944,-0.1801,0.205
1.926377,0.5131,-0.3689,-1.5187,1.645
1.926954,0.5650,-0.7001,-1.4041,1.668
1.928833,0.4767,-0.0383,-0.1217,0.493
1.933402,-0.0916,0.3688,0.3815,0.538
1.939101,0.2091,-0.0571,0.9233,0.948
1.943492,0.5168,-0.1501,0.6673,0.857
1.950048,0.2289,-0.1833,0.0440,0.297
1.954003,-0.0558,0.0395,-0.0866,0.110
1.959091,-0.0724,0.3697,0.6534,0.754
1.963622,-0.1829,0.1661,1.0665,1.095
1.968776,-0.3681,0.0060,0.3569,0.513
1.973697,-0.2260,0.1022,-0.6343,0.681
1.978919,0.1262,0.1602,-0.6596,0.690
1.987275,0.7081,-0.1695,0.4031,0.832
1.988922,0.8525,-0.4059,0.7983,1.236
1.994295,0.3493,-0.1782,0.5342,0.663
1.999075,1.0033,-0.0947,-0.2648,1.042
2.004169,0.5675,-0.4138,-0.7464,1.025
2.009427,0.1213,-0.2685,-0.2337,0.376
2.013967,0.0827,-0.1140,-0.0262,0.143
2.019497,0.0324,-0.0650,0.1315,0.150
2.024578,-0.0537,-0.0616,0.1560,0.176
2.034184,-0.0801,0.0161,0.0400,0.091
2.034840,-0.1520,0.0482,-0.0970,0.187
2.039427,-0.3149,0.1114,-0.1790,0.379
2.044340,-0.4830,0.1843,-0.1248,0.532
2.049975,-0.6012,0.1760,-0.0445,0.628
2.054863,-0.6245,0.2780,-0.0050,0.684
2.059495,-0.5960,0.3179,0.1090,0.684
2.064807,-0.5255,0.2481,0.1347,0.597
2.069690,-0.4632,0.1187,0.0769,0.484
2.075322,-0.2701,-0.0102,-0.0788,0.282
2.080117,0.0468,-0.0193,-0.1749,0.182
2.086721,0.3419,-0.0929,-0.0730,0.362
2.090129,0.3281,-0.1187,0.1910,0.398
2.094710,0.3986,0.0014,0.3161,0.509
2.099981,0.5125,-0.0583,0.3169,0.605
2.106260,0.3779,-0.1012,0.1791,0.430
2.109828,0.0813,0.1069,0.2401,0.275
2.114847,-0.3393,0.3555,0.4880,0.693
2.119971,-0.2336,0.1947,0.4949,0.581
2.124901,1.3104,-0.3178,0.1249,1.354
2.130506,1.1062,-0.5815,-0.7550,1.460
2.134883,0.3177,-0.1659,-0.3671,0.513
2.146064,0.0356,-0.0596,-0.5210,0.526
2.146672,0.2586,-0.2668,-0.2154,0.430
2.150351,0.6253,-0.3233,0.0899,0.710
2.155040,0.8637,-0.3465,0.0627,0.933
2.160097,0.9477,-0.4227,-0.0388,1.038
2.165287,0.8420,-0.2505,-0.1215,0.887
2.170494,0.7904,-0.2321,-0.1735,0.842
2.175396,0.5580,-0.3335,-0.1135,0.660
2.180678,0.3890,-0.1480,-0.3556,0.547
2.186883,0.2018,0.0851,-0.3374,0.402
2.190486,0.0508,0.0498,-0.0785,0.106
2.198506,0.0434,0.0315,0.1176,0.129
2.200723,-0.0648,-0.0537,0.1292,0.154
2.207040,-0.3458,0.0816,0.1380,0.381
2.212092,-0.7114,0.3582,0.4868,0.933
2.216473,-0.6453,0.0769,0.6166,0.896
2.222129,-0.0185,-0.2872,0.1881,0.344
2.226505,0.1704,0.0219,0.2357,0.292
2.232825,0.4146,-0.1800,0.2594,0.521
2.236397,0.8398,-0.5916,-0.3423,1.083
2.248992,0.7161,-0.3087,-0.1214,0.789
2.249482,0.8625,-0.5961,0.1181,1.055
2.250649,0.3414,0.1591,-0.0485,0.380
2.255704,0.2317,-0.0876,0.2810,0.375
2.261350,-0.3754,0.1784,-0.2155,0.468
2.266024,-0.7991,0.6202,-0.5984,1.175
2.270952,-0.7399,0.4385,-0.9902,1.312
2.276091,-0.8357,0.3083,-0.8144,1.207
2.281126,-1.2185,0.6545,-0.7475,1.572
2.285966,-1.5660,0.6774,-0.4157,1.756
2.291101,-1.8934,0.4845,0.0272,1.955
2.296372,-2.3014,0.9755,0.2076,2.508
2.301026,-2.3557,0.6125,0.6941,2.531
2.310131,-1.9802,0.3798,0.7412,2.148
2.311697,-1.0817,0.3968,0.1214,1.159
2.317372,0.0628,-0.0977,-1.4237,1.428
2.321127,0.2986,0.9184,-2.9940,3.146
2.326436,1.6130,-1.3276,-1.0268,2.328
2.332024,2.8720,-3.0285,0.5190,4.206
2.336410,2.7204,-0.8000,0.5262,2.884
2.350378,1.8242,0.0203,1.0615,2.111
2.351306,0.5390,0.0758,0.9140,1.064
2.351680,-0.2520,0.0835,0.7104,0.758
2.356640,-0.3232,-0.0807,1.5838,1.618
2.361832,-0.6109,0.3560,2.0307,2.150
2.366475,-1.0812,0.5842,1.4334,1.888
2.372709,-1.3591,0.5946,0.6392,1.615
2.376859,-1.4017,0.4955,-0.0475,1.487
2.381635,-1.2357,0.2725,-0.5923,1.397
2.387127,-0.4994,0.0837,-0.2375,0.559
2.392409,-0.5373,0.1369,-0.3975,0.682
2.397088,-0.5494,0.2165,-0.4494,0.742
2.401927,-0.4259,0.2340,-0.4651,0.673
2.409495,-0.3200,0.4143,-0.5978,0.795
2.412459,-0.1814,0.6041,-0.7041,0.945
2.417051,0.1623,-0.1057,-0.4517,0.491
2.421924,0.5272,-0.6449,-0.3720,0.912
2.430892,0.8303,-0.5997,-0.4968,1.138
2.432782,0.6918,-0.3754,-0.2710,0.832
2.437367,0.1763,-0.1157,0.1546,0.261
2.445974,-0.4100,0.0335,0.6732,0.789
2.447146,-0.8694,0.2472,0.7423,1.170
2.452302,-0.8655,0.3055,0.5828,1.087
2.457179,-0.5330,0.1942,0.4522,0.725
2.462138,-0.2332,0.3490,0.4984,0.652
2.467256,0.0725,0.4895,0.6135,0.788
2.472883,0.3172,0.4076,0.7571,0.916
2.477216,0.3482,0.4550,0.8558,1.030
2.482256,0.1086,0.5694,0.7404,0.940
2.487616,-0.1148,0.5450,0.4756,0.732
2.492447,-0.1975,0.4036,0.2093,0.496
2.497578,-0.3978,0.2960,0.0776,0.502
2.502383,-0.5123,0.2222,0.0088,0.558
2.507531,-0.4430,-0.0787,0.0384,0.452
2.512661,-0.2589,-0.3815,-0.0492,0.464
2.517825,-0.2322,-0.4521,-0.0341,0.509
2.522588,-0.2930,-0.2932,0.0186,0.415
2.528161,-0.4054,0.0113,-0.0320,0.407
2.532723,-0.4625,0.2675,-0.3100,0.618
2.539228,-0.5679,0.3202,-0.6649,0.931
2.543809,-0.5495,0.2439,-0.5380,0.807
2.548537,-0.5196,0.1297,-0.2644,0.597
2.553267,-0.4231,-0.0129,-0.0092,0.423
2.559193,-0.4081,0.2443,0.1495,0.499
2.570010,-0.6091,0.6521,0.2437,0.925
2.570691,-0.7181,0.8827,0.2902,1.174
2.573864,-0.7065,0.5585,0.4516,1.008
2.578149,-0.7006,0.2039,0.7261,1.029
2.583528,-0.6884,-0.3080,0.6664,1.006
2.588030,-0.6380,-0.3480,0.2447,0.767
2.593015,-0.5683,-0.2612,-0.0432,0.627
2.598405,-0.4631,-0.2056,-0.5403,0.741
2.603463,-0.0113,-0.3581,-0.8977,0.967
2.609166,0.4950,-0.5391,-0.8819,1.146
2.613289,1.2476,-0.9017,-0.5224,1.626
2.618484,1.9700,-1.1663,0.2433,2.302
2.623182,1.9189,-0.7854,-0.1045,2.076
2.628497,2.0567,-0.6066,0.4429,2.190
2.633306,1.8429,-0.6418,0.6697,2.063
2.642654,1.3636,-0.2279,0.0788,1.385
2.643316,1.0995,0.1204,0.1610,1.118
2.648874,0.6361,0.2693,0.0976,0.698
2.659444,0.2936,-0.0872,0.1428,0.338
2.660136,-0.1032,-0.0891,-0.2880,0.319
2.663528,-0.3396,-0.1603,0.0036,0.376
2.668637,-0.3317,-0.2363,-0.4657,0.619
2.673548,-0.1731,-0.0537,-0.3192,0.367
2.679000,-0.1983,-0.0343,-0.6625,0.692
2.684080,-0.7662,0.5424,-1.0142,1.382
2.688812,-0.9800,0.6712,-0.3360,1.234
2.694633,-0.8501,0.2882,-0.6326,1.098
2.699359,-0.2695,0.1717,-0.1717,0.363
2.704270,0.4319,0.0556,0.6230,0.760
2.708958,0.6951,-0.0463,0.9223,1.156
2.713803,0.4426,0.0429,0.7420,0.865
2.720045,0.0452,0.2537,0.2928,0.390
2.724252,-0.1576,0.4354,-0.0448,0.465
2.729036,-0.2122,0.3275,-0.4296,0.580
2.733911,-0.2672,-0.0193,-0.7951,0.839
2.739120,-0.3461,-0.1432,-0.7898,0.874
